date,Iphone Xr,Apple,Samsung,Galaxy S9,isPartial
2018-11-12,5,45,59,2,False
2018-11-13,5,45,56,2,False
2018-11-14,5,44,57,2,False
2018-11-15,5,43,56,2,False
2018-11-16,5,44,60,2,False
2018-11-17,6,50,66,2,False
2018-11-18,6,49,68,2,False
2018-11-19,5,48,65,2,False
2018-11-20,5,51,64,2,False
2018-11-21,5,57,68,3,False
2018-11-22,7,66,81,3,False
2018-11-23,9,76,100,5,False
2018-11-24,8,58,83,4,False
2018-11-25,7,53,74,3,False
2018-11-26,7,53,71,3,False
2018-11-27,5,48,63,2,False
2018-11-28,5,43,60,2,False
2018-11-29,5,42,59,2,False
2018-11-30,5,43,58,2,False
2018-12-01,6,44,65,2,False
2018-12-02,5,45,64,2,False
2018-12-03,5,43,59,2,False
2018-12-04,4,42,56,2,False
2018-12-05,5,42,58,2,False
2018-12-06,5,44,58,2,False
2018-12-07,5,44,59,2,False
2018-12-08,6,47,66,2,False
2018-12-09,6,47,65,2,False
2018-12-10,5,45,60,2,False
2018-12-11,5,45,57,2,False
2018-12-12,5,44,56,2,False
2018-12-13,5,44,56,2,False
2018-12-14,5,44,60,2,False
2018-12-15,6,48,64,2,False
2018-12-16,6,49,66,2,False
2018-12-17,5,46,60,2,False
2018-12-18,5,43,59,2,False
2018-12-19,5,46,59,2,False
2018-12-20,6,45,59,2,False
2018-12-21,6,46,59,2,False
2018-12-22,7,50,66,2,False
2018-12-23,7,50,66,2,False
2018-12-24,7,52,64,2,False
2018-12-25,9,66,77,3,False
2018-12-26,9,64,72,3,False
2018-12-27,8,55,72,3,False
2018-12-28,7,50,67,2,False
2018-12-29,7,49,69,2,False
2018-12-30,7,47,66,2,False
2018-12-31,5,44,55,2,False
2019-01-01,5,43,60,2,False
2019-01-02,6,47,62,2,False
2019-01-03,6,52,61,2,False
2019-01-04,6,49,62,2,False
2019-01-05,6,48,63,2,False
2019-01-06,6,46,60,2,False
2019-01-07,5,44,57,2,False
2019-01-08,5,42,55,2,False
2019-01-09,5,43,55,2,False
2019-01-10,5,41,56,2,False
2019-01-11,5,40,56,2,False
2019-01-12,5,43,64,2,False
2019-01-13,6,43,62,2,False
2019-01-14,5,39,54,2,False
2019-01-15,5,39,54,2,False
